Time (sec),filt465,filt405
189.4357402,141.8256764,51.84970971
189.4986546,140.5775586,51.98530378
189.5615692,139.8115297,51.81999549
189.6244838,139.6156748,51.54564144
189.6873984,139.5360761,51.50567799
189.750313,139.4076091,51.70060772
189.8132276,139.8994598,51.904295
189.876142,141.881223,51.93782347
189.9390566,144.4365824,51.81552636
190.0019712,145.5515727,51.70059669
190.0648858,144.5623675,51.73880068
190.1278002,143.2327359,51.8206371
190.1907148,143.4118782,51.79088073
190.2536294,144.554149,51.69832218
190.316544,144.6578244,51.72945752
190.3794587,142.7069218,51.89024555
190.4423732,139.7275437,52.0703185
190.5052876,137.7831573,52.15896737
190.5682022,138.7259633,52.12899948
190.6311169,142.2098545,52.0068636
190.6940314,145.5574544,51.79178351
190.7569458,146.8159178,51.60574774
190.8198604,146.7583861,51.64204418
190.8827751,147.2293815,51.8189236
190.9456896,148.9036738,51.85666178
191.008604,150.8735205,51.71022055
191.0715186,152.2531821,51.61884078
191.1344333,153.0290737,51.76121227
191.1973478,153.2211331,51.9206413
191.2602625,152.6311821,51.86506763
191.323177,150.7531181,51.71845942
191.3860915,147.6154253,51.70194882
191.449006,144.2571125,51.83994922
191.5119207,141.7054194,51.95979746
191.5748352,140.4368335,51.9274222
191.6377497,140.1205933,51.82767337
191.7006642,140.2091729,51.85369186
191.7635789,140.5681019,52.03148554
191.8264935,141.3386774,52.21392526
191.8894081,142.0985873,52.22904342
191.9523227,141.9904268,52.04489926
192.0152371,140.6607402,51.82008555
192.0781517,138.2305933,51.75644095
192.1410663,135.4381637,51.80508755
192.2039809,133.3630978,51.86694765
192.2668953,132.7689792,51.83936107
192.3298099,134.3078666,51.71835977
192.3927245,138.3299305,51.6603031
192.4556391,142.9878369,51.67758599
192.5185535,144.9278602,51.66654872
192.5814681,142.6734838,51.70765275
192.6443827,138.8220639,51.8681787
192.7072973,136.9800619,51.94050378
192.7702119,137.9642132,51.84598852
192.8331265,139.6500909,51.69435565
192.8960409,140.0467922,51.59982323
192.9589555,139.3087648,51.7236855
193.0218701,138.1807963,52.04094142
193.0847847,136.5890372,52.2654123
193.1476991,134.3242116,52.28932967
193.2106137,132.9170523,52.23620835
193.2735283,134.1644131,52.21980988
193.3364429,137.5617095,52.28564877
193.3993576,141.181061,52.28417201
193.4622721,143.0693971,52.11202925
193.5251865,142.3938918,51.91620995
193.5881011,139.8978934,51.83334705
193.6510158,137.1443202,51.83331784
193.7139303,135.5717139,51.89534431
193.7768447,135.1606065,51.96236655
193.8397593,134.9136744,51.89888557
193.902674,134.6134514,51.70470794
193.9655885,134.4357654,51.48840732
194.0285029,134.4324476,51.41856329
194.0914175,134.3438874,51.56900602
194.1543322,134.6014883,51.79518699
194.2172467,136.0075602,51.89985796
194.2801614,137.22065,51.85015398
194.3430759,136.6760231,51.63696907
194.4059904,135.4072882,51.43432836
194.4689049,135.5830712,51.49147027
194.5318196,137.2782028,51.7137214
194.5947341,139.5493498,51.81959658
194.6576486,142.7344992,51.74140606
194.7205631,148.4687933,51.65626865
194.7834778,157.4854212,51.69226633
194.8463923,167.8204277,51.81008075
194.9093068,176.6546419,51.85340982
194.9722213,182.712014,51.79455103
195.035136,186.4364091,51.83569331
195.0980505,187.7692476,52.01665773
195.1609652,186.1743412,52.1300858
195.2238798,183.7924289,52.03494819
195.2867942,184.6966479,51.74938457
195.3497087,189.6349667,51.43884529
195.4126234,194.0861044,51.32295784
195.475538,192.9932163,51.38705451
195.5384524,186.1591864,51.45059016
195.6013669,178.0396113,51.37024246
195.6642816,172.8900821,51.26524948
195.7271962,171.4656057,51.38613315
195.7901108,171.4376147,51.66983594
195.8530254,170.0584011,51.76155808
195.9159398,166.7330025,51.59978631
195.9788544,162.6280791,51.4687297
196.041769,158.4892487,51.52499052
196.1046836,154.831576,51.64807492
196.167598,152.0692784,51.75082593
196.2305126,149.7082013,51.80933841
196.2934272,147.5219772,51.78376956
196.3563418,146.2455247,51.66365052
196.4192562,146.299549,51.54995857
196.4821708,147.4965048,51.55910056
196.5450854,149.6425647,51.64318591
196.608,152.1626232,51.64918831
196.6709146,153.5282951,51.5514806
196.7338292,153.2982361,51.51115379
196.7967436,153.1673928,51.60425047
196.8596582,155.318886,51.74706758
196.9225729,159.3403352,51.77277729
196.9854874,162.0194457,51.64430624
197.0484018,160.6758334,51.51930547
197.1113164,155.9747341,51.57123662
197.1742311,151.0482684,51.78721006
197.2371456,148.2021786,51.92381605
197.3000603,147.7827064,51.78208274
197.3629748,148.1432542,51.57089144
197.4258893,147.8916308,51.60057584
197.4888038,147.4825129,51.82774957
197.5517185,147.771839,52.04926495
197.614633,148.4038099,52.05981933
197.6775475,148.2408077,51.82863645
197.740462,147.3313078,51.51451191
197.8033767,146.9399452,51.32370628
197.8662912,147.6487492,51.31787505
197.9292057,148.5813663,51.45355202
197.9921202,149.4991281,51.56153222
